Country	Melanoma Mortality – ASR (World)	Melanoma Incidence – ASR (World)	Sunshine_Hours	UV_Exposure	Latitude	Avg_Temperature_C
ARGENTINA	0.93	2.9	1984.011765	3476.0	-34.6051	14.55
ARMENIA	0.4	1.5	2457.5	2899.0	40.182	7.15
AUSTRIA	1.8	13.5	1778.857143	1888.0	48.2064	7.25
AZERBAIJAN	0.25	0.74	2151.877778	2702.0	40.3777	12.93
BELARUS	1.7	5.8	1782.0	1795.0	53.9	7.5
BELGIUM	1.7	18.6	1489.6	1645.0	50.8467	10.68
BELIZE	0.0	3.8	1915.9	4639.0	17.25	25.59
BOSNIA AND HERZEGOVINA	1.4	4.4	1769.4	2205.0	43.8486	10.24
BRAZIL	0.78	3.0	2270.202475	4552.0	-15.7797	25.51
BRUNEI DARUSSALAM	0.3	0.56	2558.0	5148.0	4.9403	26.56
BULGARIA	1.3	4.7	2182.857143	2331.0	42.6975	11.31
CAMEROON	0.48	1.2	2250.977778	5185.0	3.8667	24.87
CABO VERDE	0.53	1.7	819.6		14.9215	23.23
CHINA	0.18	0.36	2402.130556	2908.0	39.9075	7.1
COLOMBIA	0.75	2.9	1981.69375	5385.0	4.6097	24.79
COSTA RICA	0.9	2.1	2257.8	4884.0	9.9278	24.85
CROATIA	2.4	9.1	2196.7	1976.0	45.8144	11.66
DENMARK	2.4	29.7	1624.533333	1691.0	55.6759	8.76
DJIBOUTI	0.0	0.0	3265.8	5461.0	11.5877	28.38
DOMINICAN REPUBLIC	0.18	0.35	2035.207143	4880.0	18.4896	24.19
EGYPT	0.09	0.22	3468.708333	4202.0	30.0392	23.0
ESTONIA	1.6	11.6	1801.666667	1781.0	59.437	6.31
FIJI	0.0	1.0	2122.35	4431.0	-18.1416	24.3
FINLAND	1.7	19.5	1664.44	1494.0	60.1692	2.52
FRANCE	1.5	15.2	2107.75	1907.0	48.8534	11.69
GABON	0.2	0.71	1473.428571	4654.0	0.3925	25.36
GEORGIA	1.1	4.1	1986.5	2489.0	41.6941	7.67
GERMANY	1.4	20.5	1631.263158	1812.0	52.5244	9.63
GREECE	1.1	7.2	2652.3875	2753.0	37.9534	14.24
GUINEA	0.34	0.78	2453.0	5391.0	9.5716	26.14
GUYANA	0.0	0.0	2460.6	5203.0	6.8045	26.12
HONDURAS	0.35	0.85	2751.4	4924.0	14.0818	23.99
HUNGARY	1.6	8.4	1935.457143	1932.0	47.498	11.15
ICELAND	2.0	8.8	1156.9	957.0	64.1355	2.31
INDIA	0.17	0.29	2617.35	4514.0	28.6667	24.68
IRAN, ISLAMIC REPUBLIC OF	0.3	0.67	2826.128571	4038.0	35.6944	17.86
ISRAEL	1.4	10.3	3353.55	3682.0	31.769	20.51
JAPAN	0.17	0.49	1831.858599	2521.0	35.6895	11.13
KUWAIT	0.0	0.25	3000.5	4214.0	29.3697	26.18
LAO PEOPLE'S DEMOCRATIC REPUBLIC	0.26	0.46	2353.1	4735.0	17.9667	23.74
LATVIA	1.8	6.3	1721.25	1671.0	56.946	6.86
LITHUANIA	1.8	9.8	1733.25	1801.0	54.6892	7.43
LUXEMBOURG	1.4	15.5	1630.2	1687.0	49.6117	10.02
MADAGASCAR	0.53	1.2	2902.607143	4771.0	-18.9137	22.65
MALAYSIA	0.24	0.47	2267.428571	5225.0	3.1412	25.75
MALDIVES	0.0	0.0	2778.2	10224.0	4.1748	27.8
MALI	0.41	0.82	2862.305263	5617.0	12.65	28.83
MAURITIUS	0.0	0.21	2771.5	5055.0	-20.1619	23.69
MEXICO	0.53	1.5	2534.188889	4974.0	19.4273	21.31
MONGOLIA	0.27	0.35	2935.22	2226.0	47.9077	0.67
MOROCCO	0.28	0.61	3016.028571	3568.0	34.0133	18.04
NETHERLANDS	2.3	27.0	1484.02	1662.0	52.374	10.4
NICARAGUA	0.4	0.68	2427.916667	5078.0	12.1328	25.29
NORWAY	3.2	26.4	1197.2	1439.0	59.9127	1.78
OMAN	0.19	0.5	3272.525	5102.0	23.6139	26.04
PAKISTAN	0.17	0.29	3048.67619	4227.0	33.7035	20.75
POLAND	2.1	5.1	1507.4	1749.0	52.2298	8.85
PORTUGAL	1.1	5.6	2453.916667	2585.0	38.7169	15.62
ROMANIA	1.3	4.7	2034.236364	2071.0	44.4328	9.86
RUSSIAN FEDERATION	1.6	5.0	1947.090909	1795.0	55.755	-5.16
SINGAPORE	0.22	0.56	2022.4	3979.0	1.2897	27.6
SLOVAKIA	2.8	8.6	1779.066667	1795.0	48.1482	8.34
SLOVENIA	2.6	19.7	1712.1	2256.0	46.0511	9.58
SOUTH AFRICA	0.95	3.5	2838.8	4111.0	-33.9258	18.28
SPAIN	0.97	6.8	2519.886207	2705.0	40.4165	13.93
SWEDEN	2.1	23.3	1702.0	1587.0	59.3326	2.62
SWITZERLAND	1.7	21.6	1748.925	2158.0	46.9481	6.08
TAJIKISTAN	0.34	0.45	2699.0	3538.0	38.5358	3.75
THAILAND	0.25	0.52	2633.66875	4862.0	13.722	26.79
TOGO	0.57	1.3	2465.3	5307.0	6.1375	27.38
TRINIDAD AND TOBAGO	0.09	0.27	2610.4	5245.0	10.6662	26.37
TURKMENISTAN	0.59	0.86	2898.933333	3164.0	37.95	16.14
UKRAINE	1.6	5.4	2053.333333	1843.0	50.4454	9.25
UNITED ARAB EMIRATES	0.1	0.48	3535.9	4862.0	24.4648	27.63
UNITED STATES OF AMERICA	1.1	16.6	2734.559355	2736.0	38.8951	7.63
URUGUAY	1.2	5.0	2469.472727	3235.0	-34.8335	17.93
UZBEKISTAN	0.32	0.55	2839.15	3172.0	41.2647	13.34
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND	1.7	16.0				
